age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,sex,capital_gain,capital_loss,hours_per_week,native_country,income
48,State-gov,50748,Bachelors,13,Divorced,Adm-clerical,Unmarried,Female,0,0,40,United-States,<=50K
34,Private,176711,HS-grad,9,Divorced,Other-service,Own-child,Male,0,0,40,United-States,<=50K
32,Private,155781,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,United-States,<=50K
27,Private,386036,Some-college,10,Never-married,Transport-moving,Not-in-family,Male,0,0,48,United-States,<=50K
40,Private,42703,Assoc-voc,11,Divorced,Craft-repair,Unmarried,Female,0,0,40,United-States,<=50K
53,Private,152883,HS-grad,9,Widowed,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
54,Private,108435,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,20,United-States,<=50K
73,Self-emp-not-inc,130391,HS-grad,9,Never-married,Other-service,Not-in-family,Female,0,0,36,United-States,<=50K
41,Private,118619,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,United-States,<=50K
34,Private,253438,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,60,United-States,>50K
50,Local-gov,124076,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,40,United-States,>50K
34,Private,112820,HS-grad,9,Separated,Handlers-cleaners,Not-in-family,Male,2463,0,40,United-States,<=50K
17,?,171461,10th,6,Never-married,?,Own-child,Female,0,0,20,United-States,<=50K
23,Private,334357,HS-grad,9,Never-married,Adm-clerical,Own-child,Female,0,0,40,United-States,<=50K
39,Private,117683,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,United-States,>50K
31,Private,139753,Bachelors,13,Married-spouse-absent,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
23,Private,35633,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,United-States,<=50K
52,Self-emp-not-inc,123011,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,United-States,>50K
38,Private,498785,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,United-States,<=50K
46,Private,72619,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,40,United-States,>50K
18,Local-gov,466325,11th,7,Never-married,Adm-clerical,Own-child,Male,0,0,12,United-States,<=50K
29,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,50,United-States,<=50K
