age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,sex,capital_gain,capital_loss,hours_per_week,native_country,income
37,Private,340614,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,United-States,>50K
37,Self-emp-not-inc,245372,Bachelors,13,Divorced,Tech-support,Not-in-family,Male,0,0,15,United-States,<=50K
43,Self-emp-inc,83348,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,60,United-States,<=50K
25,Private,245628,Some-college,10,Never-married,Tech-support,Own-child,Male,0,0,15,Mexico,<=50K
62,Private,77884,5th-6th,3,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,Philippines,<=50K
27,Private,347513,Some-college,10,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
21,Private,118712,Assoc-voc,11,Never-married,Craft-repair,Own-child,Male,0,1504,40,United-States,<=50K
80,?,172826,HS-grad,9,Married-civ-spouse,?,Husband,Male,0,0,8,United-States,<=50K
59,Private,284834,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,Female,2885,0,30,United-States,<=50K
38,Private,240467,Masters,14,Never-married,Exec-managerial,Unmarried,Female,0,0,35,United-States,<=50K
36,Private,219483,Some-college,10,Never-married,Adm-clerical,Not-in-family,Female,0,0,40,United-States,<=50K
61,Self-emp-inc,134768,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,Germany,>50K
41,Private,806552,Some-college,10,Married-civ-spouse,Sales,Husband,Male,0,0,50,United-States,>50K
43,Private,91959,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,45,United-States,>50K
21,Private,109952,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
23,Private,185452,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Female,0,0,35,Canada,<=50K
23,Private,218215,Assoc-acdm,12,Never-married,Other-service,Own-child,Female,0,0,35,United-States,<=50K
33,Private,216145,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
38,State-gov,200289,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,Taiwan,<=50K
27,Private,173611,Assoc-acdm,12,Never-married,Sales,Not-in-family,Female,0,0,40,United-States,<=50K
20,Private,381357,9th,5,Never-married,Handlers-cleaners,Own-child,Male,0,0,28,United-States,<=50K
32,Private,101709,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,United-States,>50K
52,?,92968,Masters,14,Married-civ-spouse,?,Wife,Female,15024,0,40,United-States,>50K
56,Federal-gov,196307,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,United-States,>50K
34,Private,160216,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Female,0,0,55,United-States,>50K
25,Private,22546,Bachelors,13,Never-married,Transport-moving,Own-child,Male,0,0,60,United-States,<=50K
29,Private,119004,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Female,0,2179,40,United-States,<=50K
38,Self-emp-not-inc,201328,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,56,United-States,<=50K
47,Local-gov,172246,Masters,14,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,60,United-States,>50K
41,Private,92775,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,60,United-States,>50K
32,Private,317809,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,4064,0,50,United-States,<=50K
44,Self-emp-not-inc,98106,Some-college,10,Divorced,Exec-managerial,Not-in-family,Female,0,0,40,United-States,<=50K
29,Private,157612,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Female,14344,0,40,United-States,>50K
24,Private,137591,Some-college,10,Never-married,Sales,Own-child,Male,0,1762,40,United-States,<=50K
19,Private,63918,Some-college,10,Never-married,Adm-clerical,Not-in-family,Male,0,0,40,United-States,<=50K
27,Self-emp-not-inc,243569,HS-grad,9,Married-civ-spouse,Sales,Husband,Male,0,0,40,United-States,<=50K
32,Private,173730,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Male,7688,0,40,United-States,>50K
61,Private,106330,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
49,Local-gov,116892,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Female,0,0,40,United-States,<=50K
61,Private,137554,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,United-States,<=50K
17,Private,204018,11th,7,Never-married,Sales,Unmarried,Male,0,0,15,United-States,<=50K
50,Private,105010,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,45,United-States,>50K
23,Private,189017,Bachelors,13,Never-married,Sales,Not-in-family,Male,0,0,55,United-States,<=50K
24,Private,32732,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,United-States,<=50K
25,Private,171818,Bachelors,13,Never-married,Exec-managerial,Own-child,Female,0,0,40,United-States,<=50K
52,Private,132973,HS-grad,9,Divorced,Adm-clerical,Unmarried,Female,0,0,38,United-States,<=50K
37,Private,365465,HS-grad,9,Separated,Craft-repair,Unmarried,Male,0,0,70,Philippines,<=50K
19,Self-emp-not-inc,67929,Some-college,10,Never-married,Farming-fishing,Own-child,Male,0,0,50,United-States,<=50K
